Cell,Drug,IC50,IC50_Predict_model=2,IC50_Predict_model=1,IC50_Predict_model=0
687821,Linifanib,2.726196756,2.47937078,2.543902924,2.519513153
1299050,SGC0946,1.67354887,1.892904021,1.943597093,1.95451576
910568,(5Z)-7-Oxozeaenol,-1.789455454,-0.935391829,-1.326818902,-0.476022771
906795,Midostaurin,-0.376673959,-1.239623217,-1.243462436,-0.913059042
908462,WZ3105,3.171846614,2.996645126,3.255711308,3.087407125
909904,Pazopanib,4.03620707,4.617958537,4.59965276,4.558535936
1298351,XMD13-2,4.408855387,2.854361759,2.862774659,3.223424971
1659818,Gefitinib,0.911831863,0.9701836,0.954848216,0.813970766
753620,Cabozantinib,2.737929717,2.157477927,1.671739614,2.363772929
1323913,Obatoclax Mesylate,-2.968521602,-3.151335821,-3.068900871,-2.312440545
924247,Luminespib,-4.638716189,-3.863165145,-3.749511898,-3.951571709
908444,Vorinostat,3.512213016,2.204716329,2.10727466,1.719803117
908469,Ruxolitinib,4.689649347,4.092853702,4.076441804,3.810460384
949153,Y-39983,4.357396412,3.041155211,2.958536646,2.728820675
1240169,ZSTK474,2.208056286,2.662935058,2.689950222,2.348554347
1287381,OSI-930,5.122868629,4.763630744,4.972377962,4.77312372
1240183,Luminespib,-2.886009522,-2.096694203,-2.176243751,-2.17036069
907789,Y-39983,2.463156376,2.653087379,2.111941561,2.08444126
684055,Linsitinib,-0.185745906,-0.575127663,-0.362786864,-1.377282301
1322224,SNX-2112,2.905857335,0.712180054,0.70395691,-0.757525277
905950,Pelitinib,0.41708915,-0.064794715,0.174139116,1.248941947
1240197,AS605240,-0.012961999,1.876492,2.088118971,2.286951082
906869,Entinostat,1.359010826,0.479265245,0.056353479,0.972100569
905967,Veliparib,4.762821608,4.335107594,4.32749081,4.564768541
1331035,Lenalidomide,2.849266954,3.109481991,2.849571547,2.942392249
1327769,WZ-1-84,3.616747273,3.87878569,3.736407507,3.519064141
905970,JQ1,1.945412613,1.993579163,2.0648347,2.24617496
1330941,AZD7762,1.432324329,0.928936096,0.9748069,1.41145285
753581,Lestauritinib,1.04435856,1.286472929,1.608350183,0.517493351
924104,Obatoclax Mesylate,-2.822231736,-2.543452264,-2.463676359,-2.651303511
907278,SB52334,2.96930842,3.628893645,3.694199798,3.986292674
908158,UNC0638,0.453599746,0.941897007,1.280607677,1.146183908
753623,NPK76-II-72-1,3.112275401,3.52574553,3.835628095,3.527545575
1298537,XMD8-92,1.630425664,3.399041098,3.28234352,3.510157752
1659817,AZD7762,-1.682363478,-0.331971783,-0.142420784,-0.334057998
909773,WH-4-023,3.325121848,3.760684038,3.819995365,4.074032082
906870,Cabozantinib,-2.306772419,-3.799510793,-4.237316836,-3.314891673
684059,AR-42,-2.253302885,-2.453866999,-2.483363366,-1.808899646
1330982,KIN001-270,3.420756594,2.967118546,3.006668192,2.823624914
910697,Tubastatin A,5.867904885,5.908075261,5.810777538,4.820854627
749710,BMS-754807,0.926383535,0.271787367,0.428673745,1.535725084
753595,Veliparib,4.64219552,4.295730632,4.21742623,4.146174623
688007,Lestauritinib,0.195631817,0.768701778,1.401836195,1.191043292
1240221,PFI-1,1.596606046,2.37484512,2.312226506,2.64640992
907792,WH-4-023,1.185935223,2.226624406,2.036923321,1.995960513
908451,UNC1215,2.631494211,2.106350565,2.112458386,2.083019991
905963,FTI-277,1.838530044,1.903739662,1.98020963,2.084710235
713885,Lapatinib,3.202799622,3.168878064,3.15962606,3.009272214
949155,Cyclopamine,4.06679039,4.170962575,4.210754175,4.507949471
908125,PF-4708671,2.945144883,4.072820589,3.850208752,4.003232206
687820,ZM447439,3.805387196,3.04336965,2.739178793,2.701350096
909713,VX-702,3.873665094,3.160895769,3.323308785,3.218757824
1479988,Zibotentan,5.313820018,5.122672118,5.041588798,4.882805594
909260,GSK650394,2.12651141,2.01262591,2.148683427,2.23449911
946356,OSI-930,3.490407616,4.307331439,4.442985493,4.27228559
909715,Y-39983,0.930781092,0.746144107,1.230183703,0.999815805
1240173,Navitoclax,-1.517024898,1.636599316,0.974326675,0.78353532
688021,Avagacestat,5.413888553,5.193098868,5.08726567,5.254861429
949168,GSK269962A,2.048748151,2.868109453,2.803451787,2.100636995
1240185,JQ1,-0.862911412,0.234174588,-0.188346858,-0.149138651
909757,Pazopanib,5.210791529,5.432881874,5.419656409,5.081344535
909745,QL-XII-47,3.15307486,3.600362641,3.36286408,3.199623014
1298359,KIN001-270,5.939512424,5.563203836,5.421871338,5.169288806
910935,Cyclopamine,3.082980459,3.309978186,2.867789631,3.670955443
910781,XMD14-99,4.708650774,4.938899046,4.872905102,4.49394361
909700,XMD14-99,4.340423965,4.58555503,4.571092279,4.300697213
1240168,Midostaurin,-1.425453026,-1.229998946,-1.33661991,-1.164367689
906836,AZD7762,-2.282308587,-1.274058529,-0.961041853,-1.004554765
